name,드라마,액션,코미디,스릴러,범죄,모험,로맨스,애니메이션,미스터리,SF,판타지
스테민,91,94.0,90.0,86.0,84.0,85.0,74.0,NaN,NaN,75.0,76.0
영화를 봅시다,93,92.0,91.0,86.0,83.0,85.0,78.0,80.0,NaN,NaN,81.0
이졔졔,92,92.0,91.0,84.0,80.0,88.0,80.0,79.0,NaN,80.0,85.0
도서관 미어캣,93,91.0,89.0,86.0,81.0,87.0,78.0,88.0,NaN,82.0,80.0
이신철,93,91.0,89.0,83.0,86.0,86.0,79.0,82.0,NaN,NaN,79.0
이재학,93,92.0,87.0,86.0,86.0,85.0,NaN,83.0,NaN,76.0,78.0
문현수,92,93.0,86.0,83.0,83.0,88.0,75.0,72.0,NaN,85.0,81.0
coenjung,94,92.0,89.0,85.0,86.0,81.0,78.0,80.0,NaN,NaN,74.0
김도식,93,92.0,89.0,77.0,88.0,86.0,78.0,NaN,NaN,75.0,77.0
Camellia,94,86.0,92.0,NaN,75.0,83.0,88.0,87.0,NaN,NaN,76.0
쁘쁨,93,92.0,91.0,79.0,81.0,77.0,85.0,75.0,NaN,NaN,NaN
꾸러기,94,90.0,92.0,84.0,83.0,80.0,82.0,86.0,NaN,NaN,74.0
승윤,94,91.0,89.0,78.0,88.0,87.0,81.0,82.0,NaN,NaN,84.0
coming to you live,92,92.0,84.0,81.0,83.0,91.0,NaN,79.0,NaN,80.0,82.0
혼영족장,93,93.0,81.0,83.0,83.0,89.0,74.0,76.0,NaN,81.0,81.0
도치,92,93.0,87.0,88.0,85.0,85.0,NaN,NaN,74.0,80.0,76.0
Dup,90,94.0,84.0,83.0,83.0,89.0,NaN,80.0,70.0,83.0,78.0
somu,91,88.0,92.0,81.0,NaN,87.0,80.0,92.0,NaN,NaN,86.0
이은비,93,91.0,89.0,79.0,79.0,89.0,82.0,84.0,NaN,NaN,83.0
Jeongil Yang,90,95.0,85.0,83.0,86.0,88.0,70.0,NaN,NaN,82.0,78.0
조영길,93,92.0,86.0,82.0,84.0,85.0,79.0,86.0,NaN,NaN,79.0
Caship,93,92.0,88.0,83.0,87.0,85.0,76.0,82.0,NaN,76.0,78.0
박재현,91,93.0,88.0,83.0,80.0,89.0,NaN,86.0,NaN,81.0,80.0
Ji Hyun Lee,92,91.0,91.0,86.0,80.0,87.0,82.0,79.0,NaN,NaN,80.0
신현조,91,93.0,89.0,84.0,79.0,89.0,NaN,87.0,NaN,80.0,81.0
jww,94,91.0,90.0,85.0,85.0,80.0,82.0,NaN,NaN,75.0,74.0
주민아,91,92.0,90.0,84.0,81.0,89.0,NaN,87.0,NaN,79.0,81.0
귀여운악마,93,93.0,81.0,88.0,83.0,84.0,84.0,NaN,NaN,73.0,81.0
Jay Chung,93,92.0,88.0,87.0,85.0,87.0,82.0,78.0,NaN,NaN,78.0
권순범,92,93.0,85.0,83.0,80.0,89.0,NaN,85.0,NaN,83.0,80.0
파뉴이,94,89.0,89.0,86.0,86.0,81.0,83.0,NaN,74.0,NaN,75.0
양,94,91.0,90.0,77.0,79.0,87.0,79.0,89.0,NaN,77.0,NaN
유지철,93,93.0,89.0,87.0,85.0,83.0,79.0,NaN,NaN,78.0,76.0
정종민,92,93.0,88.0,78.0,82.0,88.0,76.0,90.0,NaN,NaN,82.0
서민서,93,91.0,86.0,83.0,79.0,89.0,NaN,84.0,NaN,77.0,83.0
srj648,91,93.0,90.0,84.0,82.0,88.0,NaN,75.0,NaN,79.0,82.0
삥꾸꼰듀,93,92.0,88.0,85.0,81.0,86.0,77.0,81.0,NaN,81.0,78.0
we,93,91.0,84.0,87.0,84.0,83.0,NaN,NaN,83.0,81.0,NaN
Lemonia,95,86.0,89.0,83.0,83.0,79.0,83.0,NaN,74.0,NaN,NaN
김일수,91,93.0,88.0,85.0,83.0,88.0,NaN,82.0,NaN,79.0,79.0
김하나,95,82.0,89.0,74.0,NaN,74.0,91.0,78.0,NaN,NaN,76.0
자라,94,84.0,89.0,NaN,80.0,85.0,87.0,86.0,NaN,NaN,84.0
동욱,93,92.0,89.0,71.0,77.0,87.0,84.0,NaN,NaN,78.0,81.0
강미누,89,93.0,83.0,79.0,73.0,91.0,NaN,82.0,NaN,85.0,85.0
김효민,91,93.0,79.0,69.0,79.0,88.0,NaN,92.0,NaN,84.0,80.0
나랑,91,91.0,92.0,76.0,76.0,88.0,NaN,91.0,NaN,NaN,81.0
이현우,94,89.0,92.0,79.0,86.0,80.0,82.0,81.0,NaN,NaN,77.0
이경연,92,92.0,88.0,86.0,NaN,88.0,NaN,90.0,79.0,82.0,79.0
김경구 본인 외 사용금지,95,87.0,90.0,81.0,81.0,81.0,90.0,NaN,NaN,NaN,77.0
대어,93,92.0,89.0,86.0,83.0,86.0,NaN,85.0,NaN,76.0,78.0
전성미,93,89.0,90.0,NaN,NaN,89.0,85.0,86.0,NaN,NaN,82.0
엠수,94,91.0,89.0,85.0,86.0,81.0,81.0,76.0,74.0,74.0,NaN
이석민,93,91.0,88.0,87.0,87.0,85.0,NaN,81.0,80.0,80.0,NaN
집사,91,94.0,89.0,81.0,83.0,88.0,77.0,66.0,NaN,80.0,80.0
달이차오른다,94,92.0,85.0,85.0,86.0,86.0,75.0,NaN,78.0,NaN,84.0
송경택,93,91.0,90.0,81.0,80.0,87.0,NaN,86.0,NaN,NaN,80.0
yingzzing,93,88.0,92.0,84.0,83.0,86.0,81.0,84.0,NaN,NaN,79.0
고윤석,93,94.0,86.0,84.0,87.0,84.0,77.0,NaN,NaN,81.0,72.0
우진수,91,94.0,84.0,79.0,83.0,89.0,NaN,NaN,NaN,78.0,80.0
최지용,92,92.0,88.0,78.0,81.0,89.0,NaN,83.0,NaN,82.0,81.0
김다영,95,88.0,87.0,84.0,83.0,83.0,84.0,81.0,77.0,NaN,76.0
망작도 재밌게ᕕ( ᐛ )ᕗ,94,91.0,91.0,83.0,85.0,81.0,69.0,85.0,NaN,NaN,79.0
악당쿠,93,92.0,89.0,84.0,88.0,83.0,79.0,NaN,70.0,75.0,NaN
현수,92,93.0,82.0,87.0,84.0,88.0,77.0,NaN,81.0,81.0,NaN
유수민,93,92.0,85.0,84.0,89.0,82.0,71.0,NaN,73.0,72.0,NaN
정준기,94,92.0,88.0,86.0,85.0,84.0,76.0,80.0,NaN,77.0,NaN
혀키리뷰,92,93.0,85.0,82.0,86.0,88.0,76.0,NaN,71.0,81.0,79.0
신다영,93,89.0,91.0,NaN,NaN,87.0,86.0,78.0,NaN,NaN,80.0
구구구구,91,93.0,82.0,86.0,82.0,86.0,81.0,NaN,80.0,86.0,79.0
우연,92,93.0,86.0,90.0,85.0,84.0,NaN,NaN,79.0,81.0,75.0
김주현,95,74.0,91.0,NaN,75.0,79.0,90.0,NaN,NaN,NaN,71.0
🥕홍당근🥕,94,91.0,89.0,82.0,82.0,86.0,76.0,82.0,NaN,77.0,77.0
영화교살,94,88.0,91.0,83.0,87.0,77.0,83.0,81.0,73.0,NaN,NaN
Laurent,93,90.0,92.0,82.0,78.0,84.0,86.0,86.0,NaN,NaN,77.0
이승빈,94,90.0,92.0,81.0,86.0,80.0,79.0,83.0,NaN,NaN,75.0
체육교사,94,93.0,87.0,77.0,87.0,71.0,79.0,NaN,NaN,82.0,74.0
-채여니 영화평-,92,90.0,92.0,82.0,81.0,88.0,80.0,90.0,NaN,NaN,81.0
가승현,92,93.0,86.0,88.0,87.0,84.0,NaN,72.0,73.0,NaN,74.0
July,94,90.0,90.0,NaN,77.0,89.0,80.0,89.0,NaN,NaN,83.0
최유진,93,91.0,89.0,81.0,87.0,88.0,83.0,84.0,NaN,76.0,82.0
Sihwan,92,94.0,85.0,86.0,85.0,86.0,NaN,75.0,NaN,78.0,75.0
hope,93,90.0,90.0,80.0,NaN,89.0,85.0,88.0,NaN,NaN,85.0
동핵,92,93.0,90.0,NaN,84.0,88.0,NaN,86.0,NaN,77.0,79.0
353,94,86.0,90.0,81.0,83.0,84.0,84.0,89.0,NaN,NaN,81.0
th,91,93.0,89.0,85.0,83.0,88.0,NaN,78.0,NaN,80.0,81.0
소우,93,90.0,89.0,79.0,78.0,88.0,84.0,88.0,NaN,NaN,81.0
멥멥,91,94.0,90.0,85.0,83.0,86.0,70.0,76.0,NaN,80.0,76.0
김봉석 평론가 봇,93,92.0,85.0,90.0,86.0,78.0,77.0,NaN,74.0,NaN,79.0
양정연,95,85.0,90.0,NaN,79.0,81.0,87.0,76.0,NaN,NaN,NaN
박계룡,89,94.0,90.0,84.0,80.0,88.0,NaN,84.0,NaN,80.0,82.0
맥켄,93,89.0,90.0,79.0,NaN,88.0,87.0,89.0,NaN,NaN,85.0
이승철,90,93.0,90.0,81.0,83.0,88.0,NaN,85.0,NaN,72.0,84.0
우윤식,93,94.0,81.0,84.0,81.0,84.0,77.0,NaN,78.0,79.0,NaN
홍다솜,94,88.0,88.0,81.0,NaN,86.0,87.0,NaN,NaN,77.0,80.0
무적코털,86,92.0,82.0,72.0,NaN,91.0,NaN,92.0,67.0,83.0,84.0
한터멜론,91,91.0,89.0,76.0,NaN,91.0,80.0,91.0,NaN,76.0,84.0
한예종베르나르데스키,94,88.0,92.0,77.0,83.0,83.0,81.0,82.0,NaN,NaN,NaN
ren人,92,93.0,89.0,NaN,NaN,90.0,88.0,NaN,NaN,80.0,78.0
김범진,93,92.0,90.0,84.0,85.0,86.0,74.0,80.0,NaN,76.0,77.0
포포레,93,89.0,92.0,NaN,82.0,85.0,86.0,84.0,NaN,NaN,78.0
까망콩,93,93.0,88.0,84.0,85.0,85.0,83.0,NaN,NaN,73.0,78.0
늑대,94,90.0,87.0,85.0,89.0,80.0,NaN,85.0,85.0,NaN,NaN
융둉,93,89.0,90.0,78.0,74.0,89.0,85.0,87.0,NaN,NaN,83.0
Parc,92,92.0,90.0,82.0,77.0,88.0,81.0,83.0,NaN,77.0,79.0
잡식성 동물,94,88.0,91.0,76.0,NaN,86.0,87.0,83.0,NaN,NaN,79.0
MJ,94,86.0,90.0,80.0,75.0,83.0,86.0,82.0,NaN,NaN,NaN
심민규,91,93.0,87.0,88.0,86.0,86.0,NaN,76.0,NaN,78.0,76.0
놀부찌,93,91.0,NaN,90.0,87.0,82.0,NaN,84.0,82.0,79.0,81.0
이현파,94,92.0,87.0,80.0,82.0,88.0,78.0,NaN,NaN,83.0,79.0
박태영,92,92.0,87.0,76.0,85.0,90.0,75.0,82.0,NaN,NaN,81.0
Di2zy,95,89.0,88.0,81.0,84.0,NaN,89.0,NaN,NaN,NaN,75.0
HAN,92,93.0,89.0,87.0,83.0,84.0,78.0,85.0,NaN,NaN,80.0
주양,91,93.0,91.0,86.0,86.0,86.0,76.0,NaN,NaN,75.0,78.0
이성민,91,94.0,81.0,88.0,85.0,85.0,75.0,NaN,NaN,80.0,79.0
まめ蔵,95,88.0,85.0,NaN,79.0,89.0,86.0,NaN,80.0,NaN,81.0
정다건,93,92.0,90.0,83.0,86.0,87.0,79.0,77.0,NaN,72.0,80.0
김돌돌,91,94.0,89.0,85.0,84.0,84.0,77.0,76.0,NaN,NaN,75.0
MOON people,95,86.0,90.0,78.0,77.0,79.0,87.0,77.0,NaN,NaN,NaN
Choi_Jo,93,85.0,93.0,NaN,NaN,81.0,90.0,80.0,NaN,NaN,76.0
떼오,95,88.0,89.0,81.0,86.0,76.0,84.0,69.0,NaN,NaN,70.0
충무로미륵궁예,93,93.0,86.0,83.0,88.0,82.0,76.0,NaN,NaN,81.0,NaN
준비된남자,92,93.0,87.0,87.0,87.0,83.0,80.0,NaN,NaN,80.0,72.0
jake,93,91.0,89.0,85.0,87.0,83.0,80.0,NaN,NaN,75.0,73.0
쑥라떼,83,94.0,87.0,70.0,64.0,92.0,NaN,83.0,NaN,85.0,82.0
ahjibaem,94,91.0,85.0,83.0,83.0,86.0,79.0,79.0,NaN,78.0,NaN
김동범,91,93.0,86.0,80.0,77.0,91.0,NaN,83.0,NaN,81.0,83.0
서초 박평식,92,93.0,86.0,78.0,84.0,88.0,76.0,NaN,NaN,81.0,80.0
김가림,95,82.0,91.0,NaN,77.0,81.0,89.0,76.0,NaN,NaN,NaN
김영석,93,92.0,89.0,81.0,85.0,87.0,78.0,75.0,NaN,74.0,77.0
김효석,91,93.0,90.0,88.0,85.0,83.0,NaN,78.0,NaN,75.0,76.0
이할봉,93,90.0,88.0,85.0,81.0,88.0,NaN,86.0,NaN,79.0,78.0
9민,93,91.0,85.0,80.0,89.0,85.0,NaN,92.0,NaN,NaN,79.0
최창묵,94,90.0,89.0,83.0,87.0,76.0,81.0,NaN,70.0,NaN,70.0
리얼리스트,94,90.0,90.0,85.0,86.0,82.0,79.0,NaN,NaN,NaN,73.0
lazyeuneun,94,88.0,92.0,79.0,77.0,84.0,82.0,86.0,NaN,NaN,78.0
우마이교자,90,92.0,88.0,88.0,81.0,82.0,NaN,86.0,77.0,NaN,76.0
Young-il Kim,93,92.0,89.0,84.0,85.0,83.0,79.0,NaN,NaN,77.0,76.0
김재형,92,92.0,89.0,86.0,84.0,86.0,NaN,81.0,NaN,78.0,78.0
영화보는재미,91,94.0,87.0,87.0,86.0,84.0,68.0,NaN,NaN,80.0,72.0
whitecolor 94,93,91.0,89.0,87.0,85.0,85.0,NaN,89.0,77.0,NaN,79.0
이원빈,93,93.0,88.0,87.0,84.0,85.0,76.0,NaN,NaN,78.0,78.0
임백호,93,92.0,87.0,81.0,82.0,85.0,88.0,NaN,NaN,85.0,82.0
승연,94,88.0,92.0,83.0,83.0,85.0,82.0,87.0,NaN,NaN,77.0
김인하,93,91.0,85.0,82.0,79.0,90.0,77.0,90.0,NaN,NaN,86.0
지나가는 사람J,88,94.0,83.0,85.0,80.0,89.0,NaN,86.0,NaN,84.0,81.0
미미,95,88.0,87.0,84.0,86.0,78.0,85.0,NaN,75.0,NaN,70.0
crabby fatty,89,94.0,90.0,85.0,84.0,87.0,NaN,84.0,NaN,NaN,75.0
무비네컷,92,92.0,89.0,87.0,85.0,87.0,NaN,87.0,NaN,80.0,81.0
순만,89,93.0,87.0,85.0,81.0,90.0,NaN,90.0,NaN,81.0,82.0
김효정,95,90.0,79.0,80.0,81.0,81.0,88.0,NaN,NaN,84.0,80.0
김인균,92,93.0,84.0,81.0,84.0,89.0,73.0,80.0,NaN,83.0,79.0
lee,94,89.0,89.0,81.0,78.0,88.0,82.0,NaN,NaN,77.0,78.0
정지원,90,94.0,88.0,84.0,84.0,88.0,NaN,79.0,NaN,83.0,82.0
김수빈,91,93.0,88.0,82.0,81.0,88.0,76.0,75.0,NaN,81.0,79.0
취백,93,92.0,88.0,84.0,85.0,87.0,77.0,73.0,NaN,79.0,74.0
도도런,90,94.0,86.0,86.0,87.0,84.0,NaN,NaN,71.0,78.0,66.0
MJ Yoon,91,92.0,91.0,85.0,79.0,87.0,NaN,86.0,NaN,NaN,83.0
Take Knowledge,94,89.0,90.0,85.0,85.0,80.0,79.0,76.0,NaN,NaN,74.0
CHAEYOOE,95,88.0,90.0,80.0,83.0,78.0,87.0,71.0,NaN,NaN,NaN
토로吐露,94,90.0,89.0,82.0,82.0,86.0,81.0,NaN,NaN,78.0,76.0
삐약,93,88.0,91.0,87.0,85.0,85.0,NaN,87.0,NaN,NaN,79.0
종진,92,93.0,87.0,89.0,86.0,83.0,74.0,NaN,NaN,76.0,74.0
이윤석,92,93.0,86.0,87.0,87.0,83.0,NaN,NaN,72.0,73.0,74.0
박미지,93,91.0,90.0,81.0,79.0,87.0,79.0,88.0,NaN,NaN,80.0
희뚜루마뚜루,95,84.0,87.0,84.0,82.0,77.0,88.0,NaN,NaN,NaN,76.0
유성고,95,82.0,92.0,NaN,76.0,NaN,88.0,67.0,NaN,NaN,76.0
매앵,93,91.0,87.0,86.0,83.0,87.0,81.0,90.0,84.0,NaN,NaN
성현철,91,93.0,89.0,83.0,85.0,88.0,NaN,86.0,NaN,76.0,80.0
플루,91,93.0,86.0,84.0,89.0,88.0,NaN,81.0,NaN,72.0,78.0
류광호,94,90.0,91.0,80.0,81.0,87.0,83.0,80.0,NaN,NaN,77.0
inhae,93,92.0,85.0,80.0,NaN,88.0,85.0,91.0,NaN,75.0,84.0
스카이하이,93,93.0,85.0,82.0,81.0,89.0,77.0,75.0,NaN,80.0,85.0
방장,92,91.0,88.0,76.0,76.0,90.0,80.0,88.0,NaN,NaN,84.0
뜨는샛별,93,93.0,89.0,85.0,87.0,83.0,77.0,NaN,NaN,74.0,71.0
혜민,93,89.0,91.0,80.0,NaN,88.0,83.0,86.0,NaN,NaN,81.0
팽이조,93,93.0,85.0,82.0,88.0,85.0,71.0,NaN,71.0,80.0,74.0
용이,93,89.0,92.0,84.0,87.0,78.0,81.0,NaN,NaN,70.0,71.0
송현서,94,92.0,89.0,76.0,83.0,87.0,84.0,77.0,NaN,79.0,73.0
평론가가 되고 싶은 꼬꼬마,89,94.0,87.0,85.0,79.0,89.0,NaN,87.0,NaN,82.0,84.0
다비,94,91.0,88.0,83.0,81.0,87.0,81.0,85.0,NaN,76.0,79.0
옴뇸뇸,91,93.0,84.0,84.0,83.0,90.0,NaN,84.0,NaN,82.0,84.0
KYM,92,91.0,91.0,77.0,NaN,90.0,79.0,89.0,NaN,NaN,83.0
김도현,93,92.0,90.0,85.0,85.0,85.0,79.0,82.0,NaN,NaN,81.0
최민탁,92,93.0,87.0,86.0,84.0,87.0,NaN,87.0,NaN,81.0,80.0
Acela,89,94.0,82.0,77.0,70.0,90.0,72.0,76.0,NaN,87.0,79.0
써니쨩,92,91.0,91.0,85.0,80.0,86.0,80.0,82.0,NaN,78.0,NaN
배 윤 서,95,89.0,90.0,84.0,80.0,81.0,84.0,NaN,NaN,73.0,73.0
이현빈,93,91.0,87.0,87.0,80.0,86.0,NaN,86.0,NaN,NaN,81.0
억까맨,93,91.0,87.0,83.0,90.0,81.0,82.0,74.0,71.0,NaN,75.0
Nancy,90,94.0,88.0,83.0,81.0,90.0,NaN,81.0,NaN,79.0,81.0
윤혜인,95,88.0,88.0,75.0,NaN,83.0,86.0,88.0,NaN,NaN,83.0
재우,93,91.0,88.0,88.0,82.0,86.0,NaN,83.0,79.0,80.0,NaN
혁명,93,91.0,90.0,81.0,80.0,89.0,80.0,87.0,NaN,NaN,79.0
참순이,94,89.0,92.0,81.0,81.0,83.0,85.0,NaN,NaN,NaN,77.0
서성진,91,93.0,86.0,83.0,86.0,90.0,77.0,78.0,NaN,80.0,84.0
MinAhn,93,93.0,89.0,79.0,79.0,87.0,81.0,77.0,NaN,79.0,77.0
전상민,88,91.0,86.0,NaN,78.0,92.0,NaN,92.0,NaN,75.0,86.0
제제*,93,89.0,92.0,80.0,79.0,86.0,NaN,91.0,NaN,NaN,80.0
블루스크린,94,91.0,90.0,80.0,83.0,85.0,NaN,83.0,NaN,84.0,NaN
유놔쮸,92,90.0,90.0,NaN,79.0,89.0,82.0,89.0,NaN,77.0,85.0
성재현,89,94.0,73.0,79.0,73.0,90.0,NaN,NaN,NaN,85.0,75.0
롯데폐인,91,94.0,86.0,86.0,86.0,85.0,68.0,NaN,NaN,77.0,75.0
희야,94,84.0,91.0,80.0,NaN,82.0,88.0,76.0,NaN,NaN,80.0
김칠팔,95,87.0,89.0,85.0,NaN,83.0,83.0,88.0,82.0,NaN,81.0
김감자,93,93.0,88.0,74.0,86.0,91.0,83.0,NaN,NaN,66.0,82.0
황미림,91,91.0,92.0,80.0,NaN,89.0,80.0,86.0,NaN,78.0,83.0
Hyunactor,92,93.0,90.0,86.0,87.0,75.0,81.0,NaN,69.0,NaN,66.0
포도시,93,93.0,91.0,81.0,84.0,86.0,77.0,74.0,NaN,73.0,76.0
딸기,91,94.0,86.0,78.0,78.0,90.0,NaN,89.0,NaN,81.0,82.0
이지원,93,89.0,88.0,78.0,83.0,90.0,85.0,NaN,NaN,NaN,90.0
이성운,91,94.0,88.0,84.0,82.0,85.0,76.0,NaN,NaN,79.0,78.0
계란찜,91,93.0,87.0,84.0,89.0,82.0,NaN,77.0,76.0,76.0,79.0
지용,92,92.0,90.0,86.0,87.0,82.0,76.0,81.0,NaN,NaN,77.0
Sunny,94,82.0,89.0,NaN,NaN,88.0,87.0,83.0,NaN,NaN,84.0
채린,93,90.0,90.0,85.0,NaN,87.0,79.0,89.0,NaN,NaN,82.0
JSY,89,93.0,87.0,79.0,74.0,90.0,NaN,92.0,NaN,82.0,82.0
홍사장,92,93.0,90.0,87.0,88.0,81.0,NaN,NaN,68.0,75.0,68.0
이누리,94,91.0,87.0,79.0,81.0,88.0,78.0,84.0,NaN,NaN,79.0
이종원,94,91.0,85.0,83.0,85.0,85.0,81.0,81.0,NaN,83.0,80.0
okkistar,93,93.0,85.0,79.0,86.0,87.0,78.0,NaN,NaN,86.0,78.0
상너무식기,90,94.0,90.0,80.0,81.0,88.0,NaN,81.0,NaN,81.0,79.0
채권각론,94,92.0,87.0,84.0,86.0,83.0,77.0,77.0,75.0,80.0,NaN
최 진영,90,94.0,84.0,82.0,77.0,90.0,NaN,86.0,NaN,83.0,81.0
Fischer,90,94.0,86.0,79.0,78.0,90.0,NaN,NaN,66.0,85.0,83.0
qt,92,92.0,88.0,84.0,87.0,87.0,67.0,85.0,NaN,82.0,73.0
( ˊ̱˂˃ˋ̱ ),94,85.0,91.0,NaN,82.0,86.0,87.0,86.0,NaN,NaN,80.0
사랑은 비를 타고,94,93.0,84.0,80.0,85.0,87.0,84.0,NaN,NaN,83.0,NaN
그냥영화좋아하는소년,93,94.0,81.0,78.0,88.0,85.0,67.0,NaN,NaN,81.0,71.0
송재한,91,93.0,87.0,87.0,78.0,88.0,NaN,84.0,NaN,82.0,82.0
강선미,95,86.0,90.0,82.0,83.0,66.0,89.0,75.0,66.0,NaN,NaN
금동,94,91.0,89.0,83.0,85.0,85.0,84.0,73.0,73.0,NaN,78.0
YONI,93,93.0,86.0,82.0,83.0,88.0,75.0,78.0,NaN,80.0,80.0
한재현,93,91.0,91.0,77.0,82.0,85.0,85.0,81.0,NaN,NaN,75.0
구아바,93,91.0,93.0,86.0,80.0,80.0,83.0,NaN,73.0,76.0,NaN
채호,93,91.0,90.0,88.0,86.0,81.0,NaN,NaN,77.0,74.0,74.0
Chung-A,92,92.0,93.0,79.0,82.0,85.0,81.0,86.0,NaN,NaN,77.0
제시,93,91.0,93.0,83.0,85.0,84.0,79.0,NaN,NaN,71.0,80.0
사운,95,89.0,90.0,75.0,78.0,82.0,84.0,86.0,NaN,NaN,NaN
박종운,94,92.0,89.0,80.0,86.0,86.0,80.0,NaN,NaN,76.0,80.0
히,93,92.0,94.0,NaN,76.0,NaN,86.0,NaN,NaN,NaN,NaN
holdtheboy,93,93.0,88.0,85.0,84.0,84.0,79.0,NaN,NaN,81.0,NaN
파티장,93,92.0,89.0,81.0,79.0,88.0,85.0,81.0,NaN,79.0,83.0
HeeJinJu,93,93.0,87.0,84.0,87.0,83.0,73.0,NaN,68.0,81.0,72.0
jhr,93,91.0,89.0,80.0,82.0,89.0,NaN,90.0,NaN,82.0,81.0
하은,94,85.0,91.0,NaN,77.0,86.0,85.0,88.0,NaN,NaN,79.0
허민정,94,91.0,88.0,83.0,83.0,87.0,82.0,78.0,NaN,76.0,76.0
ucametome,92,92.0,92.0,85.0,78.0,85.0,83.0,NaN,NaN,NaN,78.0
1892,92,93.0,84.0,87.0,87.0,86.0,NaN,NaN,77.0,79.0,76.0
멧가비 metgabi,91,93.0,91.0,87.0,82.0,85.0,NaN,75.0,NaN,83.0,80.0
김병석,95,90.0,84.0,84.0,85.0,83.0,82.0,78.0,77.0,79.0,NaN
아지랭이,94,89.0,91.0,82.0,81.0,84.0,85.0,83.0,NaN,NaN,78.0
Yang,93,90.0,90.0,88.0,88.0,81.0,NaN,NaN,81.0,NaN,68.0
나는아름다운갈비,92,93.0,85.0,81.0,77.0,90.0,75.0,86.0,NaN,81.0,83.0
방성옥,93,93.0,88.0,85.0,83.0,86.0,76.0,74.0,NaN,79.0,81.0
Seong-taeck Oh,94,91.0,86.0,84.0,90.0,70.0,74.0,NaN,66.0,NaN,NaN
𝐘𝐎𝐔𝐍𝐆,94,91.0,91.0,84.0,84.0,85.0,83.0,79.0,NaN,NaN,79.0
남국현,90,94.0,85.0,87.0,86.0,86.0,NaN,78.0,NaN,79.0,76.0
Mashimaro,93,92.0,88.0,84.0,83.0,88.0,73.0,85.0,NaN,80.0,77.0
박도현,90,93.0,85.0,84.0,79.0,90.0,NaN,84.0,NaN,83.0,80.0
정상용,92,93.0,88.0,85.0,84.0,87.0,74.0,82.0,NaN,80.0,80.0
한승호,90,94.0,82.0,81.0,79.0,89.0,NaN,76.0,NaN,82.0,79.0
김승환,94,92.0,88.0,84.0,87.0,82.0,82.0,NaN,71.0,NaN,73.0
JiwoongJung,92,93.0,89.0,84.0,81.0,88.0,77.0,NaN,NaN,80.0,79.0
WATCHA,91,92.0,84.0,86.0,83.0,89.0,77.0,82.0,NaN,84.0,82.0
클로키,91,92.0,90.0,78.0,NaN,90.0,78.0,89.0,NaN,79.0,82.0
홍구,93,91.0,88.0,NaN,78.0,89.0,NaN,89.0,NaN,79.0,81.0
Jun Seok Kim,92,93.0,88.0,88.0,86.0,82.0,74.0,NaN,NaN,75.0,74.0
Dooci,94,89.0,90.0,81.0,79.0,88.0,83.0,86.0,NaN,NaN,80.0
모츠나베,94,91.0,89.0,87.0,89.0,NaN,87.0,83.0,76.0,NaN,NaN
김채윤,92,93.0,88.0,75.0,74.0,89.0,NaN,84.0,NaN,79.0,76.0
SJ,94,93.0,85.0,86.0,87.0,82.0,NaN,80.0,NaN,74.0,73.0
Violet,93,90.0,90.0,85.0,82.0,86.0,81.0,83.0,NaN,NaN,80.0
배양수,94,95.0,NaN,67.0,82.0,87.0,NaN,NaN,NaN,72.0,81.0
김형섭,93,92.0,85.0,84.0,82.0,87.0,NaN,78.0,NaN,78.0,76.0
bhmn,92,93.0,88.0,86.0,88.0,83.0,70.0,NaN,65.0,74.0,68.0
HKK,94,91.0,88.0,82.0,82.0,88.0,83.0,74.0,NaN,79.0,77.0
김형수,93,93.0,81.0,87.0,89.0,83.0,NaN,NaN,77.0,80.0,72.0
pottttt777,94,92.0,87.0,78.0,89.0,81.0,76.0,80.0,NaN,NaN,73.0
윤인규,94,91.0,91.0,84.0,89.0,NaN,82.0,NaN,67.0,NaN,61.0
비속어,94,89.0,90.0,87.0,84.0,81.0,84.0,80.0,NaN,NaN,NaN
Jisu Kim,91,93.0,86.0,81.0,75.0,90.0,NaN,84.0,NaN,81.0,81.0
신채연,90,91.0,88.0,84.0,81.0,90.0,NaN,92.0,NaN,NaN,85.0
옥수수,94,89.0,89.0,86.0,84.0,86.0,85.0,NaN,77.0,NaN,79.0
강성찬,90,94.0,84.0,86.0,81.0,88.0,NaN,78.0,NaN,83.0,80.0
김지수,92,93.0,84.0,84.0,81.0,89.0,NaN,77.0,NaN,84.0,84.0
이은지,94,87.0,92.0,80.0,80.0,83.0,85.0,90.0,NaN,NaN,79.0
오늘언니,93,91.0,90.0,83.0,83.0,87.0,84.0,79.0,NaN,78.0,80.0
수땡,92,91.0,91.0,83.0,82.0,89.0,80.0,88.0,NaN,78.0,82.0
ㅇㅎ,93,89.0,88.0,NaN,77.0,87.0,85.0,91.0,NaN,NaN,87.0
방쌤,93,92.0,88.0,88.0,86.0,83.0,76.0,NaN,76.0,NaN,75.0
양지선,93,92.0,90.0,82.0,84.0,87.0,84.0,79.0,NaN,NaN,79.0
영순이,93,86.0,87.0,NaN,NaN,90.0,83.0,88.0,NaN,NaN,87.0
오영선,93,92.0,88.0,84.0,80.0,88.0,85.0,84.0,NaN,NaN,80.0
유진,95,84.0,89.0,81.0,82.0,79.0,85.0,76.0,NaN,NaN,74.0
용인 허지웅,93,93.0,85.0,83.0,83.0,87.0,84.0,78.0,NaN,83.0,NaN
